,Video_id,Video_Channel_title,Stats_Comment,Stats_Fav,Stats_Like,Stats_view
0,tqaVPn4YFaY,Unbox Therapy,3292,0,28270,770804
1,Es1Uolu0chc,Unbox Therapy,2320,0,19927,1255720
2,xXpWulEEhGw,Unbox Therapy,1911,0,19447,1495515
3,JpV0KHGqn_w,Unbox Therapy,3875,0,37793,2668559
4,9zQq-3Kn0uM,Unbox Therapy,453,0,4528,1227592
5,Xn4n2zg6-FE,Unbox Therapy,1134,0,8848,1160851
6,uUiub6JXwrs,Unbox Therapy,436,0,5354,1027374
7,nO8LZcPFFLc,Unbox Therapy,2099,0,22395,1663479
8,qB1Rh8fiSXE,Unbox Therapy,945,0,10523,1414465
9,JmPXK2z2auA,Unbox Therapy,28945,0,9196,863631
10,GlwYr5m-Ifo,Unbox Therapy,674,0,8027,1261753
11,blVJ775UBQI,Unbox Therapy,13346,0,26298,2369021
12,8hp1TEUqvW4,Unbox Therapy,1698,0,18458,1385501
13,KNbr1Q2m-_g,Unbox Therapy,1494,0,11989,1238977
14,qQOqk2zUttI,Unbox Therapy,833,0,11045,1342647
15,8TBvHsJA-pQ,Unbox Therapy,2524,0,35903,1815818
16,1cVx2Oq_PIE,Unbox Therapy,1512,0,12249,2209333
17,Qm5BFYifDZI,Unbox Therapy,1987,0,18045,3231481
18,S-zUUB2ozts,Unbox Therapy,982,0,7926,1145668
19,6-5VjWh-Y0I,Unbox Therapy,1831,0,26752,1000320
20,fUqX5P19B5k,Unbox Therapy,1833,0,23850,1486581
21,ktMQtfyPo-Y,Unbox Therapy,2889,0,26481,1571791
22,4fOl2ztxBVk,Unbox Therapy,2717,0,29965,3338315
23,SeIBOGoQ_lQ,Unbox Therapy,941,0,7853,1151012
24,S6JUi6nTJrM,Unbox Therapy,1810,0,13423,1146694
25,stJd03ZnRwE,Unbox Therapy,3916,0,41011,2087522
26,tacTvkjcKy8,Unbox Therapy,2769,0,11019,1048640
27,pBSqyPqj9wY,Unbox Therapy,4192,0,20328,2181423
28,SRUewOtcpzY,Unbox Therapy,14916,0,63498,1397215
